request date,EUR cash balance,Total cash balance in EUR,EUR-EUR exchange rate,EUR deposits,Total deposits in EUR,EUR withdrawals,Total withdrawals in EUR,EUR investments,Total investment in EUR,Market value of the EUR investments,Total market value in EUR,P/L in EUR,Total P/L in EUR
2016-01-01 21:00:00,,0,,,0,,0,,0,,0,,0
2016-01-02 21:00:00,,0,,,0,,0,,0,,0,,0
2016-01-03 21:00:00,,0,,,0,,0,,0,,0,,0
2016-01-04 21:00:00,,0,,,0,,0,,0,,0,,0
2016-01-05 21:00:00,,0,,,0,,0,,0,,0,,0
2016-01-06 21:00:00,,0,,,0,,0,,0,,0,,0
2016-01-07 21:00:00,,0,,,0,,0,,0,,0,,0
2016-01-08 21:00:00,,0,,,0,,0,,0,,0,,0
2016-01-09 21:00:00,,0,,,0,,0,,0,,0,,0
2016-01-10 21:00:00,,0,,,0,,0,,0,,0,,0
2016-01-11 21:00:00,,0,,,0,,0,,0,,0,,0
2016-01-12 21:00:00,,0,,,0,,0,,0,,0,,0
2016-01-13 21:00:00,,0,,,0,,0,,0,,0,,0
2016-01-14 21:00:00,,0,,,0,,0,,0,,0,,0
2016-01-15 21:00:00,,0,,,0,,0,,0,,0,,0
2016-01-16 21:00:00,,0,,,0,,0,,0,,0,,0
2016-01-17 21:00:00,,0,,,0,,0,,0,,0,,0
2016-01-18 21:00:00,,0,,,0,,0,,0,,0,,0
2016-01-19 21:00:00,,0,,,0,,0,,0,,0,,0
2016-01-20 21:00:00,,0,,,0,,0,,0,,0,,0
2016-01-21 21:00:00,,0,,,0,,0,,0,,0,,0
2016-01-22 21:00:00,,0,,,0,,0,,0,,0,,0
2016-01-23 21:00:00,,0,,,0,,0,,0,,0,,0
2016-01-24 21:00:00,,0,,,0,,0,,0,,0,,0
2016-01-25 21:00:00,,0,,,0,,0,,0,,0,,0
2016-01-26 21:00:00,,0,,,0,,0,,0,,0,,0
2016-01-27 21:00:00,,0,,,0,,0,,0,,0,,0
2016-01-28 21:00:00,,0,,,0,,0,,0,,0,,0
2016-01-29 21:00:00,,0,,,0,,0,,0,,0,,0
2016-01-30 21:00:00,,0,,,0,,0,,0,,0,,0
2016-01-31 21:00:00,,0,,,0,,0,,0,,0,,0
2016-02-01 21:00:00,,0,,,0,,0,,0,,0,,0
2016-02-02 21:00:00,,0,,,0,,0,,0,,0,,0
2016-02-03 21:00:00,,0,,,0,,0,,0,,0,,0
2016-02-04 21:00:00,,0,,,0,,0,,0,,0,,0
2016-02-05 21:00:00,,0,,,0,,0,,0,,0,,0
2016-02-06 21:00:00,,0,,,0,,0,,0,,0,,0
2016-02-07 21:00:00,,0,,,0,,0,,0,,0,,0
2016-02-08 21:00:00,,0,,,0,,0,,0,,0,,0
2016-02-09 21:00:00,,0,,,0,,0,,0,,0,,0
2016-02-10 21:00:00,,0,,,0,,0,,0,,0,,0
2016-02-11 21:00:00,,0,,,0,,0,,0,,0,,0
2016-02-12 21:00:00,,0,,,0,,0,,0,,0,,0
2016-02-13 21:00:00,,0,,,0,,0,,0,,0,,0
2016-02-14 21:00:00,,0,,,0,,0,,0,,0,,0
2016-02-15 21:00:00,,0,,,0,,0,,0,,0,,0
2016-02-16 21:00:00,,0,,,0,,0,,0,,0,,0
2016-02-17 21:00:00,,0,,,0,,0,,0,,0,,0
2016-02-18 21:00:00,,0,,,0,,0,,0,,0,,0
2016-02-19 21:00:00,,0,,,0,,0,,0,,0,,0
2016-02-20 21:00:00,,0,,,0,,0,,0,,0,,0
2016-02-21 21:00:00,,0,,,0,,0,,0,,0,,0
2016-02-22 21:00:00,,0,,,0,,0,,0,,0,,0
2016-02-23 21:00:00,,0,,,0,,0,,0,,0,,0
2016-02-24 21:00:00,,0,,,0,,0,,0,,0,,0
2016-02-25 21:00:00,,0,,,0,,0,,0,,0,,0
2016-02-26 21:00:00,,0,,,0,,0,,0,,0,,0
2016-02-27 21:00:00,,0,,,0,,0,,0,,0,,0
2016-02-28 21:00:00,,0,,,0,,0,,0,,0,,0
2016-02-29 21:00:00,,0,,,0,,0,,0,,0,,0
2016-03-01 21:00:00,,0,,,0,,0,,0,,0,,0
2016-03-02 21:00:00,,0,,,0,,0,,0,,0,,0
