request date,USD cash balance,Total cash balance in EUR,USD-EUR exchange rate,USD deposits,Total deposits in EUR,USD withdrawals,Total withdrawals in EUR,USD investments,Total investment in EUR,Market value of the USD investments,Total market value in EUR,P/L in USD,Total P/L in EUR
2016-01-01 21:00:00,20000,18417.8,0.92089,20000,18417.8,0,0,,0,20000,18417.8,,0
2016-01-02 21:00:00,20000,18426.4,0.92132,20000,18426.4,0,0,,0,20000,18426.4,,0
2016-01-03 21:00:00,10001.056,9214.17291392,0.92132,20000,18426.4,0,0,9990.99,9204.8989068,23807.71,21934.5193772,3815.66,3515.4438712
2016-01-04 21:00:00,0.866,0.79786312,0.92132,20000,18426.4,0,0,19983.23,18410.9494636,42113.12,38799.6597184,22129.02,20387.9087064
2016-01-05 21:00:00,-9998.134,-9233.97661838,0.92357,20000,18471.4,0,0,29974.28,27683.3457796,51466.79,47533.1832403,31490.64,29083.8103848
2016-01-06 21:00:00,-9998.134,-9298.86450804,0.93006,20000,18601.2,0,0,29974.28,27877.8788568,50501.17,46969.1181702,30525.02,28390.1001012
2016-01-07 21:00:00,-9998.134,-9275.56885582,0.92773,20000,18554.6,0,0,29974.28,27808.0387844,48887.9,45354.771467,28911.75,26822.2978275
2016-01-08 21:00:00,-9998.134,-9150.7921435,0.91525,20000,18305,0,0,29974.28,27433.95977,47433.53,43413.5383325,27457.38,25130.367045
2016-01-09 21:00:00,-9998.134,-9138.19449466,0.91399,20000,18279.8,0,0,29974.28,27396.1921772,46899.77,42865.9207823,26923.62,24607.9194438
2016-01-10 21:00:00,-9998.134,-9138.19449466,0.91399,20000,18279.8,0,0,29974.28,27396.1921772,46899.77,42865.9207823,26923.62,24607.9194438
2016-01-11 21:00:00,-9998.134,-9138.19449466,0.91399,20000,18279.8,0,0,29974.28,27396.1921772,46899.77,42865.9207823,26923.62,24607.9194438
2016-01-12 21:00:00,-9998.134,-9208.08145132,0.92098,20000,18419.6,0,0,29974.28,27605.7123944,46923.93,43216.0010514,26947.78,24818.3664244
2016-01-13 21:00:00,-9998.134,-9219.97923078,0.92217,20000,18443.4,0,0,29974.28,27641.3817876,44955.07,41456.2169019,24978.92,23034.8106564
2016-01-14 21:00:00,-9998.134,-9184.38587374,0.91861,20000,18372.2,0,0,29974.28,27534.6733508,45145.66,41471.2547326,25169.51,23120.9635811
2016-01-15 21:00:00,-9998.134,-9207.2816006,0.9209,20000,18418,0,0,29974.28,27603.314452,43325.6,39898.54504,23349.45,21502.508505
2016-01-16 21:00:00,-9998.134,-9155.7912105,0.91575,20000,18315,0,0,29974.28,27448.94691,42857.88,39247.10361,22881.73,20953.9442475
2016-01-17 21:00:00,-9998.134,-9155.7912105,0.91575,20000,18315,0,0,29974.28,27448.94691,42857.88,39247.10361,22881.73,20953.9442475
2016-01-18 21:00:00,-9998.134,-9155.7912105,0.91575,20000,18315,0,0,29974.28,27448.94691,42857.88,39247.10361,22881.73,20953.9442475
2016-01-19 21:00:00,-9998.134,-9176.7872919,0.91785,20000,18357,0,0,29974.28,27511.892898,42857.88,39337.105158,22881.73,21001.9958805
2016-01-20 21:00:00,-9998.134,-9161.69010956,0.91634,20000,18326.8,0,0,29974.28,27466.6317352,41461.91,37993.2066094,21485.76,19688.2613184
2016-01-21 21:00:00,-9998.134,-9191.98445558,0.91937,20000,18387.4,0,0,29974.28,27557.4538036,40366.27,37111.5376499,20390.12,18746.0646244
2016-01-22 21:00:00,-9998.134,-9204.68208576,0.92064,20000,18412.8,0,0,29974.28,27595.5211392,41234.68,37962.2957952,21258.53,19571.4530592
2016-01-23 21:00:00,-9998.134,-9258.37206534,0.92601,20000,18520.2,0,0,29974.28,27756.4830228,39288.05,36381.1271805,19311.9,17883.012519
2016-01-24 21:00:00,-9998.134,-9258.37206534,0.92601,20000,18520.2,0,0,29974.28,27756.4830228,39288.05,36381.1271805,19311.9,17883.012519
2016-01-25 21:00:00,-9998.134,-9258.37206534,0.92601,20000,18520.2,0,0,29974.28,27756.4830228,39288.05,36381.1271805,19311.9,17883.012519
2016-01-26 21:00:00,-9998.134,-9212.2806676,0.9214,20000,18428,0,0,29974.28,27618.301592,41160.32,37925.118848,21184.17,19519.094238
2016-01-27 21:00:00,-9998.134,-9202.18255226,0.92039,20000,18407.8,0,0,29974.28,27588.0275692,40584.29,37353.3746731,20608.14,18967.5259746
2016-01-28 21:00:00,-9998.134,-9165.88932584,0.91676,20000,18335.2,0,0,29974.28,27479.2209328,41690.82,38220.4761432,21714.67,19907.1408692
2016-01-29 21:00:00,-9998.134,-9141.59386022,0.91433,20000,18286.6,0,0,29974.28,27406.3834324,43858.73,40101.3526009,23882.58,21836.5593714
2016-01-30 21:00:00,-9998.134,-9235.37635714,0.92371,20000,18474.2,0,0,29974.28,27687.5421788,43942.71,40590.3206541,23966.56,22138.1511376
2016-01-31 21:00:00,-9998.134,-9235.37635714,0.92371,20000,18474.2,0,0,29974.28,27687.5421788,43942.71,40590.3206541,23966.56,22138.1511376
2016-02-01 21:00:00,-9998.134,-9235.37635714,0.92371,20000,18474.2,0,0,29974.28,27687.5421788,43942.71,40590.3206541,23966.56,22138.1511376
2016-02-02 21:00:00,-9998.134,-9174.88764644,0.91766,20000,18353.2,0,0,29974.28,27506.1977848,41568.7,38145.933242,21592.55,19814.619433
2016-02-03 21:00:00,-9998.134,-9154.09152772,0.91558,20000,18311.6,0,0,29974.28,27443.8512824,41726.33,38203.7932214,21750.18,19914.0298044
2016-02-04 21:00:00,-9998.134,-9014.61755842,0.90163,20000,18032.6,0,0,29974.28,27025.7100764,42753.61,38547.9373843,22777.46,20536.8412598
2016-02-05 21:00:00,-9998.134,-8926.93392324,0.89286,20000,17857.2,0,0,29974.28,26762.8356408,40889.32,36508.4382552,20913.17,18672.5329662
2016-02-06 21:00:00,-9998.134,-8970.92571284,0.89726,20000,17945.2,0,0,29974.28,26894.7224728,38409.19,34463.0298194,18433.04,16539.2294704
2016-02-07 21:00:00,-9998.134,-8970.92571284,0.89726,20000,17945.2,0,0,29974.28,26894.7224728,38409.19,34463.0298194,18433.04,16539.2294704
2016-02-08 21:00:00,-9998.134,-8970.92571284,0.89726,20000,17945.2,0,0,29974.28,26894.7224728,38409.19,34463.0298194,18433.04,16539.2294704
2016-02-09 21:00:00,-9998.134,-8935.03241178,0.89367,20000,17873.4,0,0,29974.28,26787.1148076,37525.98,33535.8425466,17549.83,15683.7565761
2016-02-10 21:00:00,-9998.134,-8855.74720916,0.88574,20000,17714.8,0,0,29974.28,26549.4187672,37209.43,32957.8805282,17233.28,15264.2054272
2016-02-11 21:00:00,-9998.134,-8862.8458843,0.88645,20000,17729,0,0,29974.28,26570.700506,35615.78,31571.608181,15639.63,13863.7500135
2016-02-12 21:00:00,-9998.134,-8833.8512957,0.88355,20000,17671,0,0,29974.28,26483.775094,37563.18,33188.947689,17587.03,15539.0203565
2016-02-13 21:00:00,-9998.134,-8906.23778586,0.89079,20000,17815.8,0,0,29974.28,26700.7888812,38690.06,34464.7185474,18713.91,16670.1638889
2016-02-14 21:00:00,-9998.134,-8906.23778586,0.89079,20000,17815.8,0,0,29974.28,26700.7888812,38690.06,34464.7185474,18713.91,16670.1638889
2016-02-15 21:00:00,-9998.134,-8906.23778586,0.89079,20000,17815.8,0,0,29974.28,26700.7888812,38690.06,34464.7185474,18713.91,16670.1638889
2016-02-16 21:00:00,-9998.134,-8947.63006062,0.89493,20000,17898.6,0,0,29974.28,26824.8824004,38690.06,34624.8953958,18713.91,16747.6394763
2016-02-17 21:00:00,-9998.134,-8969.3260114,0.8971,20000,17942,0,0,29974.28,26889.926588,39747.78,35657.733438,19771.63,17737.129273
2016-02-18 21:00:00,-9998.134,-8988.72239136,0.89904,20000,17980.8,0,0,29974.28,26948.0766912,39557.67,35563.9276368,19581.52,17604.5697408
2016-02-19 21:00:00,-9998.134,-8998.42058134,0.90001,20000,18000.2,0,0,29974.28,26977.1517428,39332.57,35399.7063257,19356.42,17420.9715642
2016-02-20 21:00:00,-9998.134,-8987.92254064,0.89896,20000,17979.2,0,0,29974.28,26945.6787488,40804.91,36681.9818936,20828.76,18724.2220896
2016-02-21 21:00:00,-9998.134,-8987.92254064,0.89896,20000,17979.2,0,0,29974.28,26945.6787488,40804.91,36681.9818936,20828.76,18724.2220896
2016-02-22 21:00:00,-9998.134,-8987.92254064,0.89896,20000,17979.2,0,0,29974.28,26945.6787488,40804.91,36681.9818936,20828.76,18724.2220896
2016-02-23 21:00:00,-9998.134,-9066.10794852,0.90678,20000,18135.6,0,0,29974.28,27180.0776184,38860.05,35237.516139,18883.9,17123.542842
2016-02-24 21:00:00,-9998.134,-9066.90779924,0.90686,20000,18137.2,0,0,29974.28,27182.4755608,39210.14,35558.1075604,19233.99,17442.5361714
2016-02-25 21:00:00,-9998.134,-9077.70578396,0.90794,20000,18158.8,0,0,29974.28,27214.8477832,39814.95,36149.585703,19838.8,18012.440072
2016-02-26 21:00:00,-9998.134,-9068.60748202,0.90703,20000,18140.6,0,0,29974.28,27187.5711884,40309.9,36562.288597,20333.75,18443.3212625
2016-02-27 21:00:00,-9998.134,-9152.49182628,0.91542,20000,18308.4,0,0,29974.28,27439.0553976,39814.19,36446.7058098,19838.04,18160.1385768
2016-02-28 21:00:00,-9998.134,-9152.49182628,0.91542,20000,18308.4,0,0,29974.28,27439.0553976,39814.19,36446.7058098,19838.04,18160.1385768
2016-02-29 21:00:00,-9998.134,-9152.49182628,0.91542,20000,18308.4,0,0,29974.28,27439.0553976,39814.19,36446.7058098,19838.04,18160.1385768
2016-03-01 21:00:00,-9998.134,-9181.88634024,0.91836,20000,18367.2,0,0,29974.28,27527.1797808,42264.59,38814.1088724,22288.44,20468.8117584
