Portfolio summary
Generated: 2022-09-28 23:59:59
portfolio,symbol,quantity,average price,market price,market value,investment,P/L,P/L %,costs,deposit total,withdrawal total
Interactive Brokers,USD,1527.422,1,1,1527.42,,,,23.85,20000,0,
Interactive Brokers,ORCL,486.2,41.11681201,63.29,30771.6,19990.99,10780.61,153.93,15.9,0,0,
Interactive Brokers,BAC,1722.8,5.8,30.75,52976.1,9992.24,42983.86,530.17,7.95,0,0,
Interactive Brokers,WDC,322.5,30.98,35.74,11526.15,9991.05,1535.1,115.36,7.95,0,0,
Interactive Brokers,GRVY,6891.1,1.45,47.09,324501.9,9992.1,314509.8,3247.58,7.95,0,0,
Interactive Brokers,MMM,155,34,107.52,16665.6,5270,11395.6,316.24,0,0,0,
Interactive Brokers,MSFT,373.3,26.77,234.24,87441.79,9993.24,77448.55,875.01,7.95,0,0,
Interactive Brokers,GS,4.8,95.36,301.08,1445.18,457.73,987.45,315.73,15.9,0,0,
Interactive Brokers,NFLX,135,74,224.75,30341.25,9990,20351.25,303.72,7.95,0,0,
Interactive Brokers,WNC,1541,13.22,16.16,24902.56,20372.02,4530.54,122.24,3.95,0,0,
Interactive Brokers,MU,20,29.02,52.91,1058.2,580.4,477.8,182.32,4.95,0,0,
Coinbase,EUR,3950.88400418,1,1,3950.88,,,,3.94,7000,0,
Coinbase,BTC-EUR,0.025,19370.35,20134.74,503.37,484.26,19.11,103.95,0.97,0,0,
Coinbase,SHIB-EUR,3209462.73716165,0.00006138,0.00001149,36.88,197,-160.12,18.72,2.99,3209462.73716165,0,
Coinbase,ETH-EUR,1.68,1592.62904762,1382.08,2321.89,2675.62,-353.73,86.78,5.35,0,0,
